"bpid","mlbid","Name","Age","Team","WARP","DRC+","+/-","G","PA","AB","R","HR","RBI","SB","AVG","OBP","SLG","OPS","ISO","K%","BB%","K/BB","Whiff%"
"107182","665742","Juan Soto",22,"WSH","7.2","165","11",151,654,502,111,29,95,9,".313",".465",".534",".999",".221","14.2","22.2","0.6","20.0"
"107184","665489","Vladimir Guerrero Jr.",22,"TOR","6.3","160","12",161,698,604,123,48,111,4,".311",".401",".601","1.002",".290","15.8","12.3","1.3","27.8"
"70327","543760","Marcus Semien",30,"TOR","5.6","126","12",162,724,652,115,45,102,15,".265",".334",".538",".873",".273","20.2","9.1","2.2","21.5"
"66018","547180","Bryce Harper",28,"PHI","5.5","142","13",141,599,488,101,35,84,13,".309",".429",".615","1.044",".305","22.4","16.7","1.3","32.1"
"70217","608070","José Ramírez",28,"CLE","5.3","136","12",152,636,552,111,36,103,27,".266",".355",".538",".893",".272","13.7","11.3","1.2","15.0"
"100668","621566","Matt Olson",27,"OAK","5.2","137","13",156,673,565,101,39,111,4,".271",".371",".540",".911",".269","16.8","13.1","1.3","23.0"
"68603","592450","Aaron Judge",29,"NYY","5.1","135","12",148,633,550,89,39,98,6,".287",".373",".544",".916",".256","25.0","11.8","2.1","29.2"
"55877","514888","Jose Altuve",31,"HOU","5.1","124","11",146,678,601,117,31,83,5,".278",".350",".489",".839",".211","13.4","9.7","1.4","16.1"
"111306","660271","Shohei Ohtani",26,"LAA","5.0","132","15",155,639,537,103,46,100,26,".257",".372",".592",".965",".335","29.6","15.0","2.0","35.2"
"108651","665487","Fernando Tatis Jr.",22,"SD","5.0","142","15",130,546,478,99,42,97,25,".282",".364",".611",".975",".328","28.0","11.4","2.5","34.8"
"67049","592518","Manny Machado",28,"SD","4.9","124","12",153,640,564,92,28,106,12,".278",".347",".489",".836",".211","15.9","9.8","1.6","23.1"
"56289","518692","Freddie Freeman",31,"ATL","4.8","133","10",159,695,600,120,31,83,8,".300",".393",".503",".896",".203","15.4","12.2","1.3","21.0"
"109040","668804","Bryan Reynolds",26,"PIT","4.7","126","11",159,646,559,93,24,90,5,".302",".390",".522",".912",".220","18.4","11.6","1.6","23.7"
"67248","593428","Xander Bogaerts",28,"BOS","4.6","126","12",144,603,529,90,23,79,5,".295",".370",".493",".863",".198","18.7","10.3","1.8","22.0"
"70917","607208","Trea Turner",28,,"4.6","124","9",148,646,595,107,28,77,32,".328",".375",".536",".911",".208","17.0","6.3","2.7","23.0"
"59660","571771","Enrique Hernández",29,"BOS","4.5","110","11",134,585,508,84,20,60,1,".250",".337",".449",".786",".199","18.8","10.4","1.8","23.6"
"67568","593871","Jorge Polanco",27,"MIN","4.4","120","12",152,644,588,97,33,98,11,".269",".323",".503",".826",".235","18.3","7.0","2.6","19.8"
"59586","571448","Nolan Arenado",30,"STL","4.4","119","11",157,653,593,81,34,105,2,".255",".312",".494",".806",".239","14.7","7.7","1.9","18.5"
"100502","621043","Carlos Correa",26,"HOU","4.4","125","11",148,640,555,104,26,92,"0",".279",".366",".485",".850",".205","18.1","11.7","1.6","20.9"
"105439","656775","Cedric Mullins",26,"BAL","4.3","117","11",159,675,602,91,30,59,30,".291",".360",".518",".878",".228","18.5","8.7","2.1","21.0"
"104042","646240","Rafael Devers",24,"BOS","4.3","124","12",156,664,591,101,38,113,5,".279",".352",".538",".890",".259","21.5","9.3","2.3","27.8"
"107284","664040","Brandon Lowe",26,"TB","4.3","120","14",149,615,535,97,39,99,7,".247",".340",".523",".863",".277","27.2","11.1","2.5","32.7"
"108612","669257","Will Smith",26,"LAD","4.2","124","13",130,501,414,71,25,76,3,".258",".365",".495",".860",".237","20.2","11.6","1.7","21.2"
"106744","663586","Austin Riley",24,"ATL","4.2","123","12",160,662,590,91,33,107,"0",".303",".367",".531",".898",".227","25.4","7.9","3.2","28.1"
"107491","666182","Bo Bichette",23,"TOR","4.1","117","11",159,690,640,121,29,102,25,".298",".343",".484",".828",".186","19.9","5.8","3.4","22.4"
"66955","592206","Nick Castellanos",29,"CIN","4.0","127","13",138,585,531,95,34,100,3,".309",".362",".576",".939",".267","20.7","7.0","3.0","30.7"
"102704","641933","Tyler O'Neill",26,"STL","4.0","122","16",138,537,482,89,34,80,15,".286",".352",".560",".912",".274","31.3","7.1","4.4","34.8"
"107047","663656","Kyle Tucker",24,"HOU","4.0","130","11",140,567,506,83,30,92,14,".294",".359",".557",".917",".263","15.9","9.3","1.7","20.4"
"65870","518735","Yasmani Grandal",32,"CWS","4.0","147","17",93,375,279,60,23,62,"0",".240",".420",".520",".940",".280","21.9","23.2","0.9","24.9"
"58548","457763","Buster Posey",34,"SF","3.9","128","14",113,454,395,68,18,56,"0",".304",".390",".499",".889",".195","19.2","12.3","1.6","23.9"
"69667","606192","Teoscar Hernández",28,"TOR","3.8","120","13",143,595,550,92,32,116,12,".296",".346",".524",".870",".227","24.9","6.1","4.1","31.9"
"70646","608385","Jesse Winker",27,"CIN","3.8","135","13",110,485,423,77,24,71,1,".305",".394",".556",".949",".251","15.5","10.9","1.4","20.2"
"100007","571970","Max Muncy",30,"LAD","3.8","130","13",144,592,497,95,36,94,2,".249",".368",".527",".895",".278","20.3","14.0","1.4","23.3"
"59307","502671","Paul Goldschmidt",33,"STL","3.7","125","11",158,679,603,102,31,99,12,".294",".365",".514",".879",".221","20.0","9.9","2.0","24.9"
"57758","543063","Brandon Crawford",34,"SF","3.7","122","13",138,549,483,79,24,90,11,".298",".373",".522",".895",".224","19.1","10.2","1.9","29.3"
"105993","664034","Ty France",26,"SEA","3.7","120","11",152,650,571,85,18,73,"0",".291",".368",".445",".812",".154","16.3","7.1","2.3","19.1"
"104004","645277","Ozzie Albies",24,"ATL","3.7","106","12",156,686,629,103,30,106,20,".259",".310",".488",".799",".229","18.7","6.9","2.7","25.0"
"56034","516782","Starling Marte",32,,"3.7","110","10",120,526,467,89,12,55,47,".308",".381",".456",".837",".148","18.8","8.2","2.3","24.7"
"67084","592663","J.T. Realmuto",30,"PHI","3.7","97","13",134,537,476,64,17,73,13,".263",".343",".439",".782",".176","24.0","8.9","2.7","27.0"
"51408","493329","Yuli Gurriel",37,"HOU","3.6","125","10",143,605,530,83,15,81,1,".319",".383",".462",".846",".143","11.2","9.8","1.1","13.9"
"70613","608336","Joey Gallo",27,,"3.6","108","14",153,616,498,90,38,77,6,".199",".351",".458",".808",".259","34.6","18.0","1.9","39.2"
"57335","521692","Salvador Perez",31,"KC","3.6","130","15",161,665,620,88,48,121,1,".273",".316",".544",".859",".271","25.6","4.2","6.1","33.6"
"56185","518626","Josh Donaldson",35,"MIN","3.5","122","13",135,543,457,73,26,72,"0",".247",".352",".475",".827",".228","21.0","13.6","1.5","27.6"
"70430","605141","Mookie Betts",28,"LAD","3.5","121","12",122,550,466,93,23,58,10,".264",".367",".487",".854",".223","15.6","12.4","1.3","16.8"
"70301","543068","C.J. Cron",31,"COL","3.4","126","14",142,547,470,70,28,92,1,".281",".375",".530",".905",".249","21.4","11.0","1.9","27.5"
"57556","519317","Giancarlo Stanton",31,"NYY","3.4","126","15",139,579,510,64,35,97,"0",".273",".354",".516",".870",".243","27.1","10.9","2.5","32.8"
"101603","624413","Pete Alonso",26,"NYM","3.4","129","12",152,637,561,81,37,94,3,".262",".344",".519",".862",".257","19.9","9.4","2.1","24.9"
"106969","664702","Myles Straw",26,,"3.3","96","9",158,638,564,86,4,48,30,".271",".349",".348",".696",".076","19.0","10.5","1.8","13.6"
"102005","547989","José Abreu",34,"CWS","3.3","120","13",152,659,566,86,30,117,1,".261",".351",".481",".831",".219","21.7","9.3","2.3","27.4"
"68660","592669","Hunter Renfroe",29,"BOS","3.2","113","13",144,572,521,89,31,96,1,".259",".315",".501",".816",".242","22.7","7.7","3.0","25.9"
"124341","663697","Jonathan India",24,"CIN","3.2","109","11",150,631,532,98,21,69,12,".269",".376",".459",".835",".190","22.3","11.3","2.0","25.1"
"108112","670032","Nicky Lopez",26,"KC","3.2","102","10",151,565,497,78,2,43,22,".300",".365",".378",".744",".078","13.1","8.7","1.5","15.6"
"109860","666969","Adolis García",28,"TEX","3.2","92","14",149,622,581,77,31,90,16,".243",".286",".454",".741",".212","31.2","5.1","6.1","34.2"
"56761","516416","Jean Segura",31,"PHI","3.1","110","12",131,567,514,76,14,58,9,".290",".348",".436",".784",".146","13.8","6.9","2.0","17.3"
"109138","666971","Lourdes Gurriel Jr.",27,"TOR","3.1","109","12",141,541,500,62,21,84,1,".276",".319",".466",".784",".190","18.9","5.9","3.2","24.3"
"60932","572041","AJ Pollock",33,"LAD","3.1","120","14",117,422,384,53,21,69,9,".297",".355",".536",".892",".240","19.0","7.1","2.7","24.3"
"105454","660670","Ronald Acuña Jr.",23,"ATL","3.1","137","17",82,360,297,72,24,52,17,".283",".394",".596",".990",".313","23.6","13.6","1.7","27.6"
"99914","571745","Mitch Haniger",30,"SEA","3.1","116","13",157,691,620,110,39,100,1,".253",".318",".485",".804",".232","24.5","7.8","3.1","29.8"
"99903","572287","Mike Zunino",30,"TB","3.1","121","19",109,375,333,64,33,62,"0",".216",".301",".559",".860",".342","35.2","9.1","3.9","38.8"
"51991","457759","Justin Turner",36,"LAD","3.1","121","11",151,612,533,87,27,87,3,".278",".361",".471",".832",".193","16.0","10.0","1.6","17.7"
"65767","474832","Brandon Belt",33,"SF","3.0","144","19",97,381,325,65,29,59,3,".274",".378",".597",".975",".323","27.0","12.6","2.1","28.0"
"59016","541645","Avisaíl García",30,"MIL","3.0","114","13",135,515,461,68,29,86,8,".262",".330",".490",".820",".228","23.5","7.4","3.2","33.6"
"105531","664056","Harrison Bader",27,"STL","3.0","106","14",103,401,367,45,16,50,9,".267",".324",".460",".785",".193","21.2","6.7","3.1","24.8"
"109147","670541","Yordan Alvarez",24,"HOU","3.0","116","13",144,598,537,92,33,104,1,".277",".346",".531",".877",".253","24.2","8.4","2.9","22.7"
"103751","656941","Kyle Schwarber",28,,"2.9","125","15",113,471,399,76,32,71,1,".266",".374",".554",".928",".288","27.0","13.6","2.0","28.6"
"59339","518934","DJ LeMahieu",32,"NYY","2.9","106","10",150,679,597,84,10,57,4,".268",".349",".362",".711",".094","13.8","10.8","1.3","14.3"
"34302","443558","Nelson Cruz",40,,"2.9","122","12",140,584,513,79,32,86,3,".265",".334",".497",".832",".232","21.6","8.7","2.5","30.7"
"59275","502110","J.D. Martinez",33,"BOS","2.9","115","12",148,634,570,92,28,99,"0",".286",".349",".518",".867",".232","23.7","8.7","2.7","29.3"
"105791","630105","Jake Cronenworth",27,"SD","2.8","113","11",152,643,567,94,21,71,4,".266",".340",".460",".800",".194","14.0","8.6","1.6","13.8"
"45487","458015","Joey Votto",37,"CIN","2.8","127","14",129,533,448,73,36,99,1,".266",".375",".563",".938",".297","23.8","14.4","1.6","29.3"
"100631","621439","Byron Buxton",27,"MIN","2.8","136","20",61,254,235,50,19,32,9,".306",".358",".647","1.005",".340","24.4","5.1","4.8","29.2"
"67175","593160","Whit Merrifield",32,"KC","2.8","95","9",162,720,664,97,10,74,40,".277",".317",".395",".711",".117","14.3","5.6","2.6","18.2"
"107582","666185","Dylan Carlson",22,"STL","2.8","101","11",149,619,542,79,18,65,2,".266",".343",".437",".780",".172","24.6","9.2","2.7","27.9"
"66594","572191","Michael A. Taylor",30,"KC","2.8","82","11",142,528,483,58,12,54,14,".244",".297",".356",".653",".112","27.3","6.3","4.4","31.3"
"66068","553882","Omar Narváez",29,"MIL","2.8","99","11",123,445,391,54,11,49,"0",".266",".342",".402",".743",".136","18.9","9.2","2.0","23.6"
"57919","543257","Robbie Grossman",31,"DET","2.8","110","11",156,671,557,88,23,67,20,".239",".357",".415",".772",".176","23.1","14.6","1.6","21.6"
"66950","592192","Mark Canha",32,"OAK","2.7","114","10",141,625,519,93,17,61,12,".231",".358",".387",".746",".156","20.5","12.3","1.7","21.5"
"102503","641313","Tim Anderson",28,"CWS","2.7","103","11",123,551,527,94,17,61,18,".309",".338",".469",".806",".159","21.6","4.0","5.4","26.1"
"68520","592178","Kris Bryant",29,,"2.7","110","11",144,586,513,86,25,73,10,".265",".353",".481",".835",".216","23.0","10.6","2.2","27.9"
"70775","605137","Josh Bell",28,"WSH","2.6","129","12",144,568,498,75,27,88,"0",".261",".347",".476",".823",".215","17.8","11.4","1.6","24.1"
"70524","607043","Brandon Nimmo",28,"NYM","2.6","110","12",92,386,325,51,8,28,5,".292",".401",".437",".838",".145","20.5","14.0","1.5","22.7"
"70635","608369","Corey Seager",27,"LAD","2.5","124","14",95,409,353,54,16,57,1,".306",".394",".521",".915",".215","16.1","11.7","1.4","28.0"
"104938","657077","Alex Verdugo",25,"BOS","2.5","106","10",146,604,544,88,13,63,6,".289",".351",".426",".778",".138","15.9","8.4","1.9","17.7"
"104096","649966","Luis Urías",24,"MIL","2.5","107","12",150,570,490,77,23,75,5,".249",".345",".445",".789",".196","20.4","11.1","1.8","22.8"
"104123","650333","Luis Arraez",24,"MIN","2.5","103","10",121,479,428,58,2,42,2,".294",".357",".376",".733",".082","10.0","9.0","1.1","10.7"
"103420","643396","Isiah Kiner-Falefa",26,"TEX","2.5","95","8",158,677,635,74,8,53,20,".271",".312",".357",".670",".087","13.3","4.1","3.2","14.6"
"66391","570731","Jonathan Schoop",29,"DET","2.5","106","11",156,674,623,85,22,84,2,".278",".320",".435",".756",".157","19.7","5.5","3.6","24.6"
"70399","596019","Francisco Lindor",27,"NYM","2.4","107","11",125,524,452,73,20,63,10,".230",".322",".412",".734",".181","18.3","11.1","1.7","23.3"
"57850","527038","Wilmer Flores",29,"SF","2.4","124","13",139,436,389,57,18,53,1,".262",".335",".447",".782",".185","12.8","9.4","1.4","16.6"
"70406","596115","Trevor Story",28,"COL","2.4","105","13",142,595,526,88,24,75,20,".251",".329",".471",".801",".221","23.4","8.9","2.6","27.5"
"107930","669720","Austin Hays",25,"BAL","2.4","104","12",131,529,488,73,22,71,4,".256",".308",".461",".769",".205","20.2","5.3","3.8","24.7"
"49264","488726","Michael Brantley",34,"HOU","2.4","112","10",121,508,469,68,8,47,1,".311",".362",".437",".799",".126","10.4","6.5","1.6","11.0"
"107168","621020","Dansby Swanson",27,"ATL","2.3","99","11",160,653,588,78,27,88,9,".248",".311",".449",".760",".201","25.6","8.0","3.2","30.5"
"108278","669221","Sean Murphy",26,"OAK","2.3","95","14",119,448,393,47,17,59,"0",".216",".306",".405",".710",".188","25.4","8.9","2.9","27.8"
"69338","600869","Jeimer Candelario",27,"DET","2.3","105","11",149,626,557,75,16,67,"0",".271",".351",".443",".795",".172","21.6","10.4","2.1","23.5"
"109161","668227","Randy Arozarena",26,"TB","2.3","103","12",141,604,529,94,20,69,20,".274",".356",".459",".815",".185","28.1","9.3","3.0","32.6"
"65992","543807","George Springer",31,"TOR","2.3","132","16",78,342,299,59,22,50,4,".264",".352",".555",".907",".291","23.1","10.8","2.1","26.9"
"100988","622534","Manuel Margot",26,"TB","2.3","101","12",125,464,421,55,10,57,13,".254",".313",".382",".696",".128","15.1","8.0","1.9","20.5"
"110664","673357","Luis Robert",23,"CWS","2.2","121","18",68,296,275,42,13,43,6,".338",".378",".567",".946",".229","20.6","4.7","4.4","28.4"
"103417","643393","Tony Kemp",29,"OAK","2.2","110","10",131,397,330,54,8,37,8,".279",".382",".418",".800",".139","12.8","13.1","1.0","15.6"
"105574","643217","Andrew Benintendi",26,"KC","2.2","101","12",134,538,493,63,17,73,8,".276",".324",".442",".766",".166","18.0","6.7","2.7","22.7"
"52448","446334","Evan Longoria",35,"SF","2.2","119","19",81,291,253,45,13,46,1,".261",".351",".482",".833",".221","23.4","12.0","1.9","25.2"
"66057","553869","Elias Díaz",30,"COL","2.2","114","14",106,371,338,52,18,44,"0",".246",".310",".464",".774",".219","16.2","8.1","2.0","24.1"
"50106","502054","Tommy Pham",33,"SD","2.2","100","11",155,561,475,74,15,49,14,".229",".340",".383",".724",".154","22.8","13.9","1.6","23.4"
"67744","594807","Adam Duvall",32,,"2.2","100","14",146,555,513,67,38,113,5,".228",".281",".491",".772",".263","31.4","6.3","5.0","29.3"
"103209","642715","Willy Adames",25,,"2.1","100","12",140,555,497,77,25,73,5,".262",".337",".481",".818",".219","28.1","10.3","2.7","32.5"
"59871","542583","Jesús Aguilar",31,"MIA","2.1","112","12",131,510,449,49,22,93,"0",".261",".329",".459",".788",".198","18.2","9.0","2.0","25.8"
"99953","573262","Mike Yastrzemski",30,"SF","2.1","100","13",139,532,468,75,25,71,4,".224",".311",".457",".768",".233","24.6","9.6","2.6","24.4"
"71213","607732","Jacob Stallings",31,"PIT","2.1","99","11",112,427,374,38,8,53,"0",".246",".335",".369",".704",".123","19.9","11.5","1.7","23.4"
"56444","514917","César Hernández",31,,"2.1","99","9",149,637,570,84,21,62,1,".232",".308",".386",".694",".154","21.2","9.3","2.3","22.3"
"66719","575929","Willson Contreras",29,"CHC","2.0","102","14",128,483,413,61,21,57,5,".237",".340",".438",".778",".201","28.6","10.8","2.6","34.6"
"108878","669289","Santiago Espinal",26,"TOR","2.0","112","13",92,246,222,32,2,17,6,".311",".376",".405",".781",".095","12.2","8.9","1.4","15.5"
"57951","543281","Josh Harrison",33,,"2.0","105","9",138,558,505,58,8,60,9,".279",".341",".400",".741",".121","13.4","5.6","2.4","18.8"
"52260","444482","David Peralta",33,"ARI","2.0","91","9",150,538,487,57,8,63,2,".259",".325",".402",".728",".144","17.1","8.6","2.0","21.2"
"70607","608324","Alex Bregman",27,"HOU","2.0","120","12",91,400,348,54,12,55,1,".270",".355",".422",".777",".152","13.3","11.0","1.2","13.5"
"46400","457705","Andrew McCutchen",34,"PHI","2.0","108","11",144,574,482,78,27,80,6,".222",".334",".444",".778",".222","23.0","14.1","1.6","25.7"
"70619","608348","Carson Kelly",26,"ARI","2.0","113","15",98,359,304,41,13,46,"0",".240",".343",".411",".754",".171","20.6","12.3","1.7","25.1"
"103726","650490","Yandy Díaz",29,"TB","2.0","112","11",134,541,465,62,13,64,1,".256",".353",".387",".740",".131","15.7","12.8","1.2","19.2"
"68087","596142","Gary Sánchez",28,"NYY","2.0","106","15",117,440,383,54,23,54,"0",".204",".307",".423",".730",".219","27.5","11.8","2.3","29.4"
"105147","657656","Ramón Laureano",26,"OAK","2.0","100","14",88,378,341,43,14,39,12,".246",".317",".443",".760",".196","25.9","7.1","3.6","27.1"
"105735","663757","Trent Grisham",24,"SD","2.0","96","11",132,527,462,61,15,62,13,".242",".327",".413",".740",".171","22.6","10.2","2.2","21.9"
"70387","595879","Javier Báez",28,,"2.0","95","14",138,547,502,80,31,87,18,".265",".319",".494",".813",".229","33.6","5.1","6.6","40.6"
"101618","624428","Adam Frazier",29,,"2.0","104","8",155,639,577,83,5,43,10,".305",".368",".411",".779",".106","10.8","7.5","1.4","12.4"
"105432","660162","Yoán Moncada",26,"CWS","1.9","103","11",144,616,520,74,14,61,3,".263",".375",".412",".786",".148","25.5","13.6","1.9","28.1"
"69790","606466","Ketel Marte",27,"ARI","1.9","123","14",90,374,340,52,14,50,2,".318",".377",".532",".909",".215","16.0","8.3","1.9","17.3"
"59431","545358","Max Stassi",30,"LAA","1.9","88","15",87,319,282,45,13,35,"0",".241",".326",".426",".752",".184","31.7","8.8","3.6","31.2"
"58767","543877","Christian Vázquez",30,"BOS","1.9","90","10",138,498,458,51,6,49,8,".258",".308",".352",".659",".094","16.9","6.6","2.5","17.6"
"102432","640457","Austin Meadows",26,"TB","1.9","105","12",142,591,518,79,27,106,4,".234",".315",".458",".772",".224","20.6","10.0","2.1","24.4"
"104806","656555","Rhys Hoskins",28,"PHI","1.9","118","14",107,443,389,64,27,71,3,".247",".334",".530",".864",".283","24.4","10.6","2.3","26.3"
"51653","500871","Eduardo Escobar",32,,"1.9","103","12",146,599,549,77,28,90,1,".253",".314",".472",".786",".219","20.7","8.0","2.6","23.8"
"107752","669242","Tommy Edman",26,"STL","1.9","90","10",159,691,641,91,11,56,30,".262",".308",".387",".695",".125","13.7","5.5","2.5","15.0"
"60918","573131","Darin Ruf",34,"SF","1.9","125","18",117,312,262,41,16,43,2,".271",".385",".519",".904",".248","27.9","14.7","1.9","25.0"
"106527","663624","Ryan Mountcastle",24,"BAL","1.9","110","13",144,586,534,77,33,89,4,".255",".309",".487",".796",".232","27.5","7.0","3.9","31.6"
"105978","664058","David Fletcher",27,"LAA","1.9","86","8",157,665,626,74,2,47,15,".262",".297",".324",".622",".062","9.0","4.7","1.9","9.5"
"100171","571657","Kyle Farmer",30,"CIN","1.9","97","12",147,529,483,60,16,63,2,".263",".316",".416",".732",".153","18.3","4.2","4.4","20.0"
"102668","641857","Ryan McMahon",26,"COL","1.8","99","12",151,596,528,80,23,86,6,".254",".331",".449",".779",".195","24.7","9.9","2.5","29.2"
"101621","624431","Jose Trevino",28,"TEX","1.8","84","13",89,302,285,23,5,30,1,".239",".267",".340",".607",".102","18.9","4.0","4.8","22.6"
"106960","663886","Tyler Stephenson",24,"CIN","1.8","106","12",132,402,350,56,10,45,"0",".286",".366",".431",".797",".146","18.7","10.2","1.8","19.0"
"104926","657041","Lane Thomas",25,,"1.8","106","14",77,264,226,35,7,28,6,".235",".341",".412",".752",".177","23.9","14.0","1.7","21.1"
"57514","519203","Anthony Rizzo",31,,"1.7","111","10",141,576,496,73,22,61,6,".248",".344",".440",".783",".192","15.1","9.0","1.7","20.9"
"70262","543939","Kolten Wong",30,"MIL","1.7","98","12",116,492,445,70,14,50,12,".272",".335",".447",".783",".175","16.9","6.3","2.7","18.9"
"104744","656305","Matt Chapman",28,"OAK","1.7","95","12",151,622,529,75,27,72,3,".210",".314",".403",".716",".193","32.5","12.9","2.5","32.8"
"106765","663898","Brendan Rodgers",24,"COL","1.7","101","12",102,415,387,49,15,51,"0",".284",".328",".470",".798",".186","20.2","4.6","4.4","23.0"
"107102","665120","Jared Walsh",27,"LAA","1.7","110","13",144,585,530,70,29,98,2,".277",".340",".509",".850",".232","26.0","8.2","3.2","26.0"
"60834","543228","Yan Gomes",33,,"1.7","102","12",103,375,349,49,14,52,"0",".252",".301",".421",".722",".169","20.8","5.1","4.1","20.4"
"100496","621035","Chris Taylor",30,"LAD","1.7","96","12",148,582,507,92,20,73,13,".254",".344",".438",".782",".183","28.7","10.8","2.6","32.7"
"57302","520471","Freddy Galvis",31,,"1.7","101","12",104,394,356,53,14,40,1,".242",".302",".407",".709",".166","19.5","6.9","2.9","20.8"
"105437","664023","Ian Happ",26,"CHC","1.7","103","12",148,535,465,63,25,66,9,".226",".323",".434",".757",".209","29.2","11.6","2.5","32.4"
"68091","596146","Max Kepler",28,"MIN","1.7","98","12",121,490,426,61,19,54,10,".211",".306",".413",".719",".202","19.6","11.0","1.8","23.0"
"48685","444489","Manny Piña",34,"MIL","1.7","110","16",75,208,180,27,13,33,"0",".189",".293",".439",".732",".250","18.3","10.6","1.7","23.8"
"103500","643524","Frank Schwindel",29,,"1.6","129","17",64,259,242,44,14,43,2,".326",".371",".591",".962",".264","15.8","6.2","2.6","23.2"
"52804","453568","Charlie Blackmon",34,"COL","1.6","103","10",150,582,514,76,13,78,3,".270",".351",".411",".761",".140","15.6","9.3","1.7","20.4"
