"bpid","mlbid","Name","Age","Team","WARP","DRC+","+/-","G","PA","AB","R","HR","RBI","SB","AVG","OBP","SLG","OPS","ISO","K%","BB%","K/BB","Whiff%"
"101604","624414","Christian Arroyo",26,"BOS","0.5","95","18",57,181,164,22,6,25,1,".262",".324",".445",".769",".183","24.3","4.4","5.5","26.7"
"103221","642727","Sergio Alcántara",24,"CHC","0.5","81","14",89,255,220,30,5,17,3,".205",".303",".327",".630",".123","29.0","11.8","2.5","30.1"
"48082","455117","Martín Maldonado",34,"HOU","0.5","77","12",125,426,373,40,12,36,"0",".172",".272",".300",".573",".129","29.8","11.0","2.7","28.8"
"107293","665750","Leody Taveras",22,"TEX","0.5","62","14",49,185,174,14,3,9,10,".161",".207",".270",".477",".109","32.4","4.9","6.7","26.9"
"103340","643265","Garrett Cooper",30,"MIA","0.5","106","18",71,250,215,30,9,33,1,".284",".380",".465",".845",".181","27.2","12.0","2.3","27.2"
"110298","676801","Chas McCormick",26,"HOU","0.5","90","16",108,320,284,47,14,50,4,".257",".319",".447",".766",".190","32.5","7.8","4.2","35.5"
"66085","553902","Willians Astudillo",29,"MIN","0.5","107","15",72,216,208,17,7,21,"0",".236",".259",".375",".634",".139","5.6","1.4","4.0","10.4"
"69159","542932","Jon Berti",31,"MIA","0.5","84","13",85,271,233,35,4,19,8,".210",".311",".313",".624",".103","22.5","11.8","1.9","21.7"
"50910","501659","Abraham Almonte",32,"ATL","0.5","102","18",64,175,148,20,5,19,1,".216",".331",".399",".730",".182","21.7","14.9","1.5","23.2"
"66263","570481","Erik González",29,"PIT","0.5","80","13",71,229,220,17,2,21,2,".232",".258",".300",".558",".068","17.5","3.5","5.0","25.6"
"102606","641645","Luis Guillorme",26,"NYM","0.5","101","14",69,156,132,13,1,5,"0",".265",".374",".311",".685",".045","14.7","14.7","1.0","14.9"
"108855","666915","Bobby Dalbec",26,"BOS","0.5","92","14",133,453,417,50,25,78,2,".240",".298",".494",".792",".254","34.4","6.2","5.6","38.2"
"57476","519048","Mitch Moreland",35,"OAK","0.4","92","14",81,252,229,28,10,30,"0",".227",".286",".415",".701",".188","23.0","7.1","3.2","30.4"
"102764","642133","Rowdy Tellez",26,,"0.4","96","12",106,325,297,34,11,36,"0",".242",".305",".414",".719",".172","20.0","7.1","2.8","23.3"
"109602","676391","Ernie Clement",25,"CLE","0.4","99","17",40,133,121,16,3,9,"0",".231",".285",".339",".624",".107","14.3","5.3","2.7","16.5"
"68192","596847","Ji-Man Choi",30,"TB","0.4","95","14",83,305,258,36,11,45,"0",".229",".348",".411",".758",".182","28.5","14.8","1.9","31.9"
"67700","594694","Wilmer Difo",29,"PIT","0.4","89","14",116,240,219,25,4,24,1,".269",".329",".384",".713",".114","22.5","8.3","2.7","28.3"
"110358","676694","Jake Meyers",25,"HOU","0.4","85","19",49,163,146,22,6,28,3,".260",".323",".438",".761",".178","30.7","6.1","5.0","29.2"
"67762","594838","Phil Gosselin",32,"LAA","0.4","89","11",104,373,345,40,7,47,4,".261",".314",".362",".676",".101","21.7","6.4","3.4","21.1"
"69508","605113","Nick Ahmed",31,"ARI","0.4","76","10",129,473,434,46,5,38,7,".221",".280",".339",".619",".118","22.0","7.2","3.1","26.8"
"104833","656669","Jordan Luplow",27,,"0.4","105","17",61,193,163,23,11,28,1,".202",".326",".454",".780",".252","29.5","14.5","2.0","31.0"
"103355","643289","Mauricio Dubón",26,"SF","0.4","87","15",74,187,175,20,5,22,2,".240",".278",".377",".655",".137","21.9","4.8","4.6","23.0"
"102436","640461","Chad Pinder",29,"OAK","0.4","86","17",75,233,214,30,6,27,1,".243",".300",".411",".712",".168","26.6","6.9","3.9","28.1"
"102110","620443","Luis Torrens",25,"SEA","0.4","97","14",108,378,346,39,15,47,"0",".243",".299",".431",".730",".188","26.2","7.4","3.5","27.4"
"108051","666198","Carter Kieboom",23,"WSH","0.4","90","14",62,249,217,26,6,20,"0",".207",".301",".318",".619",".111","24.9","10.0","2.5","29.5"
"106875","621011","Max Schrock",26,"CIN","0.3","95","16",53,134,125,19,3,14,1,".288",".328",".448",".776",".160","17.9","6.0","3.0","17.4"
"55773","518586","Charlie Culberson",32,"TEX","0.3","82","13",90,271,247,23,5,22,7,".243",".296",".381",".676",".138","23.6","6.3","3.8","31.2"
"106558","621028","Kevin Newman",27,"PIT","0.3","81","9",148,554,517,50,5,39,6,".226",".265",".309",".574",".083","7.4","4.9","1.5","11.9"
"101631","624513","Dom Nuñez",26,"COL","0.3","78","16",81,263,228,31,10,33,"0",".189",".293",".399",".692",".211","34.6","12.9","2.7","33.0"
"110836","657757","Gavin Sheets",25,"CWS","0.3","111","20",54,179,160,23,11,34,"0",".250",".324",".506",".830",".256","22.3","8.9","2.5","20.2"
"59768","542454","Danny Santana",30,"BOS","0.3","96","16",38,127,116,15,5,14,4,".181",".252",".345",".597",".164","23.6","7.9","3.0","36.6"
"58831","488771","Jason Castro",34,"HOU","0.3","93","20",66,179,149,22,8,21,"0",".235",".356",".443",".799",".208","30.2","14.0","2.2","35.1"
"57967","543305","Aaron Hicks",31,"NYY","0.3","92","18",32,126,108,13,4,14,"0",".194",".294",".333",".627",".139","23.8","11.1","2.1","29.6"
"108587","670097","Zack Short",26,"DET","0.3","76","17",61,184,156,21,6,20,2,".141",".239",".282",".521",".141","32.1","12.0","2.7","27.5"
"70764","571718","Brian Goodwin",30,"CWS","0.3","91","14",72,271,235,33,8,29,1,".221",".319",".374",".693",".153","21.4","12.2","1.8","27.5"
"111033","670764","Taylor Walls",24,"TB","0.3","80","13",54,176,152,15,1,15,4,".211",".314",".296",".610",".086","27.8","13.1","2.1","26.3"
"101093","622682","Victor Reyes",26,"DET","0.3","89","14",76,220,209,26,5,22,5,".258",".284",".416",".701",".158","25.0","3.6","6.9","25.6"
"101165","622761","Jorge Mateo",26,,"0.3","82","13",89,209,194,19,4,14,10,".247",".293",".376",".670",".129","26.3","4.3","6.1","31.1"
"102564","641505","Jonathan Davis",29,,"0.3","88","16",64,103,87,20,1,4,4,".126",".252",".172",".425",".046","25.2","11.7","2.2","26.3"
"68156","596748","Maikel Franco",28,"BAL","0.3","86","12",104,403,377,31,11,47,"0",".210",".253",".355",".608",".146","16.6","5.0","3.4","24.1"
"70317","543510","James McCann",31,"NYM","0.3","78","13",121,412,375,29,10,46,1,".232",".294",".349",".643",".117","27.9","7.8","3.6","27.1"
"49829","467092","Wilson Ramos",33,,"0.3","101","16",44,163,151,15,8,20,"0",".205",".248",".397",".646",".192","22.1","5.5","4.0","26.7"
"106026","664247","Kyle Garlick",29,"MIN","0.3","89","22",36,107,99,17,5,10,1,".232",".280",".465",".745",".232","29.9","5.6","5.3","28.9"
"67728","594777","Kole Calhoun",33,"ARI","0.3","86","16",51,182,166,17,5,17,1,".235",".297",".373",".670",".139","22.5","8.2","2.7","31.9"
"105339","658668","Edward Olivares",25,"KC","0.3","107","18",39,111,101,14,5,12,2,".238",".291",".406",".697",".168","17.1","4.5","3.8","24.3"
"102777","642165","Josh VanMeter",26,"ARI","0.3","75","13",112,310,274,26,6,36,3,".212",".297",".354",".651",".142","26.8","10.6","2.5","26.8"
"66006","545350","Jake Marisnick",30,,"0.3","76","16",99,198,176,21,5,24,4,".216",".286",".375",".661",".159","32.8","5.6","5.9","33.5"
"103785","596056","John Nogowski",28,,"0.3","94","14",52,143,129,14,1,14,"0",".233",".301",".310",".611",".078","15.4","8.4","1.8","13.3"
"109139","671277","Luis García",21,"WSH","0.3","86","13",70,247,236,29,6,22,"0",".242",".275",".411",".686",".169","17.4","4.5","3.9","24.5"
"106466","664901","Danny Mendick",27,"CWS","0.3","83","16",71,186,164,14,2,20,"0",".220",".303",".287",".589",".067","22.6","9.7","2.3","24.9"
"67002","592348","Niko Goodrum",29,"DET","0.3","79","14",90,325,290,39,9,33,14,".214",".292",".359",".651",".145","32.9","8.9","3.7","37.1"
"50609","503556","Marwin Gonzalez",32,,"0.3","75","13",91,307,276,30,5,28,3,".199",".275",".304",".579",".105","25.4","6.5","3.9","24.3"
"66995","592325","Ben Gamel",29,,"0.2","86","11",122,400,340,43,8,26,3,".247",".347",".388",".735",".141","26.3","12.8","2.1","27.3"
"102657","641829","Jason Martin",25,"TEX","0.2","78","17",58,154,144,14,6,17,3,".208",".248",".354",".602",".146","26.6","5.2","5.1","29.6"
"108571","669222","Nick Senzel",26,"CIN","0.2","98","17",36,124,111,18,1,8,2,".252",".323",".315",".638",".063","12.9","9.7","1.3","17.8"
"49076","435559","Kurt Suzuki",37,"LAA","0.2","93","14",72,247,219,17,6,16,"0",".224",".294",".342",".636",".119","17.8","4.9","3.7","21.8"
"106961","664057","Andrew Stevenson",27,"WSH","0.2","77","15",109,213,192,22,5,23,1,".229",".294",".339",".632",".109","28.6","6.1","4.7","28.7"
"100300","608671","Travis Jankowski",30,"PHI","0.2","94","16",76,157,131,24,1,10,5,".252",".364",".351",".715",".099","18.5","14.0","1.3","18.5"
"102646","641796","Tim Locastro",28,,"0.2","87","13",64,156,139,15,2,7,5,".180",".263",".252",".515",".072","21.2","4.5","4.7","22.9"
"70343","547004","Rio Ruiz",27,,"0.2","81","16",62,141,125,11,3,10,2,".168",".243",".272",".515",".104","27.0","8.5","3.2","29.4"
"70408","596129","Daniel Vogelbach",28,"MIL","0.2","105","15",93,258,215,30,9,24,"0",".219",".349",".381",".730",".163","22.1","16.7","1.3","19.4"
"105764","661388","William Contreras",23,"ATL","0.2","93","20",52,185,163,19,8,23,"0",".215",".303",".399",".702",".184","29.2","10.3","2.8","36.4"
"69188","543768","Travis Shaw",31,,"0.2","83","14",84,250,220,20,9,39,"0",".200",".286",".373",".659",".173","27.2","9.6","2.8","25.8"
"102667","641856","Billy McKinney",26,,"0.2","83","12",116,300,265,32,9,27,2,".192",".280",".358",".638",".166","26.3","10.7","2.5","23.6"
"101479","623520","David Bote",28,"CHC","0.2","83","13",97,327,291,32,8,35,"0",".199",".276",".330",".606",".131","22.3","8.3","2.7","25.0"
"58450","474568","Jordy Mercer",34,"WSH","0.2","83","16",46,127,118,13,2,9,"0",".254",".307",".364",".672",".110","26.8","7.1","3.8","23.1"
"59467","547379","Roberto Pérez",32,"CLE","0.2","81","19",44,161,141,13,7,17,1,".149",".245",".319",".564",".170","34.8","10.6","3.3","35.6"
"107130","663897","Luke Williams",24,"PHI","0.2","92","18",58,108,98,8,1,6,2,".245",".315",".316",".631",".071","21.3","9.3","2.3","19.8"
"56609","502210","Josh Reddick",34,"ARI","0.2","79","15",54,158,151,15,2,21,"0",".258",".285",".371",".656",".113","19.6","3.8","5.2","21.0"
"68062","595751","Jorge Alfaro",28,"MIA","0.2","62","14",92,311,295,22,4,30,8,".244",".283",".342",".625",".098","31.8","3.5","9.0","33.1"
"108508","670351","Jose Rojas",28,"LAA","0.2","82","17",61,184,168,26,6,15,2,".208",".277",".399",".676",".190","27.2","8.2","3.3","27.0"
"108036","622100","Taylor Jones",27,"HOU","0.2","78","18",35,108,102,11,2,16,"0",".245",".269",".402",".670",".157","26.9","3.7","7.3","31.2"
"99963","571875","Jake Lamb",30,,"0.2","88","17",55,170,144,25,7,19,"0",".194",".306",".368",".674",".174","30.0","12.9","2.3","26.9"
"107538","670712","Mike Brosseau",27,"TB","0.2","81","17",57,169,150,21,5,18,2,".187",".266",".347",".613",".160","31.4","8.9","3.5","29.2"
"99919","572228","Luke Voit",30,"NYY","0.1","94","19",68,241,213,26,11,35,"0",".239",".328",".437",".764",".197","30.7","8.7","3.5","40.5"
"108055","666135","Alex Kirilloff",23,"MIN","0.1","90","15",59,231,215,23,8,34,1,".251",".299",".423",".722",".172","22.5","6.1","3.7","26.9"
"100344","609275","Adalberto Mondesi",25,"KC","0.1","79","20",35,136,126,19,6,17,15,".230",".271",".452",".723",".222","31.6","4.4","7.2","35.8"
"70950","605548","Bradley Zimmer",28,"CLE","0.1","70","14",99,348,299,44,8,35,15,".227",".325",".344",".669",".117","35.1","8.6","4.1","36.6"
"110715","667670","Brent Rooker",26,"MIN","0.1","85","19",58,213,189,25,9,16,"0",".201",".291",".397",".688",".196","32.9","7.0","4.7","33.4"
"105670","663662","Daz Cameron",24,"DET","0.1","84","21",35,115,103,16,4,13,6,".194",".278",".359",".638",".165","33.0","8.7","3.8","30.8"
"69634","606157","Aristides Aquino",27,"CIN","0.1","77","18",84,204,174,25,10,23,2,".190",".299",".408",".707",".218","36.8","13.2","2.8","39.5"
"59265","501981","Khris Davis",33,,"0.1","90","16",42,114,102,11,3,10,"0",".206",".272",".363",".635",".157","27.2","8.8","3.1","36.0"
"69095","605612","Harold Castro",27,"DET","0.1","83","12",106,339,315,35,3,37,1,".283",".310",".359",".669",".076","21.2","4.1","5.1","26.0"
"102514","641343","Jake Bauers",25,,"0.1","77","12",115,315,282,27,4,19,6,".209",".290",".277",".566",".067","24.8","9.5","2.6","26.9"
"104205","650489","Willi Castro",24,"DET","0.1","76","11",125,450,413,56,9,38,9,".220",".273",".351",".624",".131","24.2","5.1","4.7","29.4"
"110280","665155","Nick Maton",24,"PHI","0.1","74","18",52,131,117,16,2,14,2,".256",".323",".385",".708",".128","29.8","7.6","3.9","31.3"
"107024","664789","Ka'ai Tom",27,,"0.1","83","17",48,133,108,10,2,12,1,".139",".278",".231",".510",".093","27.1","12.8","2.1","32.9"
"57552","519299","Eric Sogard",35,"CHC","0.1","82","14",78,180,169,16,1,12,3,".249",".283",".314",".597",".065","16.7","5.0","3.3","12.5"
"102745","642086","Dominic Smith",26,"NYM","0.1","81","11",145,493,446,43,11,58,2,".244",".304",".363",".668",".119","22.7","6.5","3.5","27.7"
"69255","592530","José Marmolejos",28,"SEA","0.1","80","19",41,122,106,11,4,12,"0",".160",".262",".311",".574",".151","32.0","12.3","2.6","31.8"
"100059","572039","Stephen Piscotty",30,"OAK","0.1","85","16",72,188,173,14,5,16,1,".220",".282",".353",".634",".133","25.5","6.9","3.7","27.7"
"103985","644374","Yu Chang",25,"CLE","0.1","81","15",89,251,237,32,9,39,1,".228",".267",".426",".693",".198","27.5","4.4","6.3","27.0"
"69944","607345","Kevan Smith",33,,"0.1","74","15",33,106,95,8,"0",3,"0",".168",".248",".200",".448",".032","29.2","9.4","3.1","27.5"
"109294","656180","Riley Adams",25,,"0.1","85","19",47,120,99,13,2,10,"0",".222",".358",".384",".742",".162","33.3","12.5","2.7","29.7"
"102519","641355","Cody Bellinger",25,"LAD","0.1","68","13",95,350,315,39,10,36,3,".165",".240",".302",".542",".137","26.9","8.9","3.0","29.7"
"106618","660829","Hoy Park",25,,"0.1","81","15",45,150,128,16,3,14,1,".195",".297",".336",".633",".141","25.3","12.0","2.1","25.5"
"50297","502481","Jarrod Dyson",36,,"0.1","76","12",102,149,135,17,"0",10,10,".207",".260",".289",".549",".081","22.1","6.7","3.3","24.8"
"103523","643565","Mike Tauchman",30,,"0.1","75","15",75,191,166,22,4,15,3,".181",".284",".283",".567",".102","30.4","12.0","2.5","34.5"
"102040","592567","Colin Moran",28,"PIT","0.1","91","14",99,359,318,29,10,50,1,".258",".334",".390",".724",".132","24.2","10.0","2.4","27.0"
"33829","455139","Robinson Chirinos",37,"CHC","0.1","85","21",45,112,97,13,5,15,"0",".227",".324",".454",".778",".227","32.1","8.0","4.0","32.9"
"57478","519058","Mike Moustakas",32,"CIN","0.1","84","15",62,206,183,21,6,22,"0",".208",".282",".372",".653",".164","22.3","8.7","2.6","27.6"
"104745","656308","Michael Chavis",25,,"0.1","70","16",43,124,121,16,3,11,1,".248",".258",".397",".655",".149","33.9","0.8","42.0","38.5"
"108682","666211","Taylor Trammell",23,"SEA","0.1","63","21",51,178,156,23,8,18,2,".160",".256",".359",".615",".199","42.1","9.6","4.4","43.4"
"100317","608701","Rob Refsnyder",30,"MIN","0","90","16",51,157,139,21,2,12,1,".245",".325",".338",".663",".094","25.5","10.8","2.4","27.0"
"107161","664874","Seby Zavala",27,"CWS","0","68","22",37,104,93,15,5,15,"0",".183",".240",".376",".616",".194","39.4","5.8","6.8","42.1"
"50845","501571","Juan Lagares",32,"LAA","0","74","13",112,327,309,39,6,38,1,".236",".266",".372",".638",".136","23.2","3.7","6.3","24.7"
"103745","656252","Bobby Bradley",25,"CLE","0","84","17",74,279,245,36,16,41,"0",".208",".294",".445",".739",".237","35.5","9.0","4.0","40.3"
"102574","641531","Hunter Dozier",29,"KC","0","83","13",144,543,487,55,16,54,5,".216",".285",".394",".680",".179","28.4","7.9","3.6","32.3"
"108764","642201","Eli White",27,"TEX","0","75","15",64,220,198,26,6,15,4,".177",".259",".308",".567",".131","30.0","8.2","3.7","30.4"
"133509","663728","Cal Raleigh",24,"SEA","0","55","16",47,148,139,6,2,13,"0",".180",".223",".309",".532",".129","35.1","4.7","7.4","33.1"
"102775","642162","Pat Valaika",28,"BAL","0","73","15",90,281,259,17,5,25,1,".201",".250",".290",".540",".089","27.0","5.7","4.8","27.4"
"139165","660294","Yoshi Tsutsugo",29,,"0","90","12",81,262,230,27,8,32,"0",".217",".307",".383",".689",".165","27.5","11.1","2.5","27.1"
"108507","668670","Jake Rogers",26,"DET","0","83","23",38,127,113,17,6,17,1,".239",".306",".496",".802",".257","36.2","8.7","4.2","37.9"
"100279","608577","Nomar Mazara",26,"DET","0","80","16",50,181,165,12,3,19,"0",".212",".276",".321",".598",".109","24.9","8.3","3.0","27.2"
"67746","594809","Adam Eaton",32,,"-0.1","80","13",83,288,254,38,6,30,3,".201",".282",".327",".608",".126","24.7","7.6","3.2","23.7"
"104766","656371","Isan Díaz",25,"MIA","-0.1","73","13",89,278,238,25,4,17,1,".193",".293",".282",".575",".088","26.3","12.2","2.1","31.9"
"101622","624503","Nick Gordon",25,"MIN","-0.1","77","14",73,216,200,19,4,23,10,".240",".292",".355",".647",".115","25.5","5.6","4.6","28.4"
"108977","656716","Zach McKinstry",26,"LAD","-0.1","77","18",60,172,158,19,7,29,1,".215",".263",".405",".668",".190","29.1","5.8","5.0","26.2"
"111605","673451","Shogo Akiyama",33,"CIN","-0.1","72","13",88,183,162,16,"0",12,2,".204",".282",".253",".535",".049","21.9","7.7","2.9","22.7"
"103215","642721","Kelvin Gutierrez",26,,"-0.1","81","12",85,295,272,23,3,20,"0",".232",".292",".316",".608",".085","25.8","6.4","4.0","31.2"
"102787","642211","Justin Williams",25,"STL","-0.1","78","19",51,137,119,10,4,11,"0",".160",".270",".261",".531",".101","33.6","12.4","2.7","37.1"
"49890","467827","Gerardo Parra",34,"WSH","-0.1","75","17",53,107,97,13,2,10,1,".237",".292",".351",".643",".113","28.0","5.6","5.0","26.5"
"113905","664761","Alec Bohm",24,"PHI","-0.1","79","11",115,417,380,46,7,47,4,".247",".305",".342",".647",".095","26.6","7.4","3.6","26.5"
"70390","595909","Jake Cave",28,"MIN","-0.1","57","16",76,178,164,14,3,13,1,".189",".249",".293",".541",".104","34.8","5.6","6.2","32.5"
"108059","668800","Andrew Knizner",26,"STL","-0.1","83","14",63,185,161,18,1,9,"0",".174",".281",".236",".517",".062","21.1","10.8","1.9","24.0"
"58899","488671","Alex Avila",34,"WSH","-0.1","74","20",34,111,89,5,1,9,"0",".191",".345",".348",".694",".157","33.3","17.1","1.9","39.9"
"111057","657108","Evan White",25,"SEA","-0.1","75","18",30,104,97,8,2,9,"0",".144",".202",".237",".439",".093","29.8","5.8","5.2","29.9"
"70799","605204","J.D. Davis",28,"NYM","-0.1","83","17",73,211,179,18,5,23,1,".285",".384",".436",".820",".151","32.2","11.4","2.8","41.0"
"102779","642180","Tyler Wade",26,"NYY","-0.1","81","14",103,145,127,31,"0",5,17,".268",".354",".323",".677",".055","25.5","11.0","2.3","26.9"
"108795","670370","Andrew Young",27,"ARI","-0.1","78","25",58,104,91,13,6,15,"0",".209",".298",".484",".782",".275","43.3","5.8","7.5","44.5"
"103432","643418","Shed Long Jr.",25,"SEA","-0.2","74","20",34,121,111,13,4,17,1,".198",".258",".360",".619",".162","32.2","7.4","4.3","29.4"
"66245","570256","Gregory Polanco",29,"PIT","-0.2","77","12",107,382,336,38,11,36,14,".208",".283",".354",".637",".146","27.2","9.4","2.9","30.6"
"106386","621006","Richie Martin",26,"BAL","-0.2","77","18",37,105,98,9,1,8,"0",".235",".269",".286",".555",".051","26.7","3.8","7.0","28.2"
"69314","600474","Pedro Severino",27,"BAL","-0.2","88","12",113,419,379,32,11,46,"0",".248",".308",".383",".690",".135","26.0","8.1","3.2","29.5"
"126235","663616","Trevor Larnach",24,"MIN","-0.2","71","15",79,301,260,29,7,28,1,".223",".322",".350",".672",".127","34.6","10.3","3.4","39.0"
"104934","657061","Cole Tucker",24,"PIT","-0.2","81","16",43,131,117,15,2,12,2,".222",".298",".342",".640",".120","25.2","9.9","2.5","26.3"
"106439","663630","Ryan McKenna",24,"BAL","-0.2","66","16",90,197,169,20,2,14,1,".183",".292",".266",".559",".083","37.6","12.2","3.1","34.8"
"55951","506702","Sandy León",32,"MIA","-0.2","62","13",83,220,202,15,4,14,"0",".183",".237",".267",".505",".084","29.5","5.5","5.4","27.1"
"129503","680911","Owen Miller",24,"CLE","-0.3","73","16",60,202,191,17,4,18,2,".204",".243",".309",".552",".105","26.7","4.5","6.0","26.1"
"104869","656811","Ryan O'Hearn",27,"KC","-0.3","80","17",84,254,236,23,9,29,"0",".225",".268",".369",".636",".144","28.0","5.1","5.5","29.3"
"59654","571740","Billy Hamilton",30,"CWS","-0.3","58","16",71,135,127,23,2,11,9,".220",".242",".378",".620",".157","34.8","3.0","11.8","31.5"
"60187","572761","Matt Carpenter",35,"STL","-0.3","70","14",130,249,207,18,3,21,2,".169",".305",".275",".581",".106","30.9","14.1","2.2","29.7"
"68600","592444","JaCoby Jones",29,"DET","-0.3","58","21",36,105,100,9,2,9,2,".170",".210",".250",".460",".080","40.0","4.8","8.4","37.0"
"102429","640449","Clint Frazier",26,"NYY","-0.3","86","15",66,218,183,20,5,15,2,".186",".317",".317",".634",".131","29.8","14.7","2.0","30.1"
"68908","595284","Andrew Knapp",29,"PHI","-0.4","48","14",62,159,145,13,2,11,"0",".152",".215",".214",".429",".062","38.4","6.3","6.1","37.8"
"103280","642851","Austin Wynns",30,"BAL","-0.4","87","16",45,139,130,14,4,14,1,".185",".232",".308",".540",".123","22.3","5.8","3.9","21.0"
"119003","680776","Jarren Duran",24,"BOS","-0.4","55","19",33,112,107,17,2,10,2,".215",".241",".336",".578",".121","35.7","3.6","10.0","34.7"
"70477","605421","Michael Perez",28,"PIT","-0.4","68","16",70,231,210,19,7,21,"0",".143",".221",".290",".511",".148","29.4","8.2","3.6","27.3"
"68178","596825","Robel García",28,"HOU","-0.4","58","18",46,117,106,8,1,8,"0",".151",".216",".208",".423",".057","35.9","6.8","5.3","42.3"
"109122","669016","Brandon Marsh",23,"LAA","-0.4","58","15",70,260,236,27,2,19,6,".254",".317",".356",".672",".102","35.0","7.7","4.5","33.2"
"100404","614173","Franchy Cordero",26,"BOS","-0.4","52","16",48,136,127,12,1,9,1,".189",".237",".260",".497",".071","37.5","5.9","6.4","41.9"
"100152","546990","Anthony Alford",26,"PIT","-0.4","67","22",49,148,133,14,5,11,5,".233",".311",".406",".717",".173","39.2","8.1","4.8","38.6"
"100595","621311","David Dahl",27,"TEX","-0.5","65","14",63,220,205,19,4,18,2,".210",".247",".322",".568",".112","26.8","4.5","5.9","26.7"
"104814","656577","Alex Jackson",25,,"-0.6","46","16",52,151,131,13,3,12,"0",".137",".252",".237",".488",".099","48.3","8.6","5.6","51.0"
"68302","598265","Jackie Bradley Jr.",31,"MIL","-0.8","52","12",134,428,387,39,6,29,7,".163",".236",".261",".497",".098","30.8","6.5","4.7","34.4"
"110030","669374","Keston Hiura",24,"MIL","-0.9","53","16",61,197,173,16,4,19,3,".168",".256",".301",".557",".133","39.1","7.1","5.5","47.0"
"107646","641470","Zack Collins",26,"CWS","-1.0","77","14",78,231,195,25,4,26,1,".210",".330",".338",".669",".128","29.9","14.7","2.0","28.7"